test model relativeRisk haplotypeLength recFrac Training_mTDT2G_cv2_useDistances_01 Training_mTDT2G_cv2_useDistances_05 Training_mTDT2G_cv2_useDistances_001 Training_mTDT2G_cv2_useDistances_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT2G_cv5_useDistances_01 Training_mTDT2G_cv5_useDistances_05 Training_mTDT2G_cv5_useDistances_001 Training_mTDT2G_cv5_useDistances_005 
PowerTwoLoci Modified 1.2 1 0.0002000 0.09 0.15 0.05 0.06 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07 0.05 0.15 0.03 0.04
PowerTwoLoci Modified 1.6 1 0.0000000 0.25 0.32 0.17 0.24 0.25 0.37 0.19 0.24 0.25 0.37 0.19 0.24 0.2 0.29 0.13 0.17
PowerTwoLoci Modified 1.6 1 0.0000500 0.11 0.22 0.06 0.11 0.1 0.2 0.07 0.1 0.1 0.2 0.07 0.1 0.09 0.19 0.03 0.09
PowerTwoLoci Modified 1.6 1 0.0001000 0.02 0.05 0 0.01 0.05 0.08 0.01 0.02 0.05 0.08 0.01 0.02 0.02 0.04 0.01 0.01
PowerTwoLoci Modified 1.6 1 0.0001500 0.04 0.08 0.02 0.03 0.04 0.12 0.01 0.02 0.04 0.12 0.01 0.02 0.04 0.11 0 0.02
PowerTwoLoci Modified 1.6 1 0.0002000 0.08 0.13 0.04 0.07 0.06 0.18 0.05 0.06 0.06 0.18 0.05 0.06 0.06 0.1 0.04 0.05
PowerTwoLoci Modified 2.0 1 0.0000000 0.25 0.31 0.2 0.23 0.29 0.37 0.21 0.27 0.29 0.37 0.21 0.27 0.23 0.28 0.16 0.21
PowerTwoLoci Modified 2.0 1 0.0000500 0.13 0.23 0.08 0.11 0.15 0.26 0.09 0.14 0.15 0.26 0.09 0.14 0.11 0.21 0.04 0.07
PowerTwoLoci Modified 2.0 1 0.0001000 0.03 0.07 0 0.02 0.05 0.08 0.01 0.04 0.05 0.08 0.01 0.04 0.02 0.06 0 0.01
PowerTwoLoci Modified 2.0 1 0.0001500 0.04 0.08 0.01 0.01 0.05 0.15 0.01 0.05 0.05 0.15 0.01 0.05 0.03 0.08 0 0.02
PowerTwoLoci Modified 2.0 1 0.0002000 0.07 0.14 0.04 0.05 0.07 0.15 0.04 0.06 0.07 0.15 0.04 0.06 0.04 0.1 0.03 0.04
PowerTwoLoci Modified 2.4 1 0.0000000 0.27 0.39 0.21 0.25 0.32 0.44 0.22 0.3 0.32 0.44 0.22 0.3 0.25 0.34 0.19 0.22
PowerTwoLoci Modified 2.4 1 0.0000500 0.19 0.25 0.09 0.15 0.2 0.3 0.1 0.18 0.2 0.3 0.1 0.18 0.13 0.22 0.05 0.09
PowerTwoLoci Modified 2.4 1 0.0001000 0.02 0.09 0.01 0.02 0.06 0.09 0.02 0.03 0.06 0.09 0.02 0.03 0.02 0.07 0 0.01
